CIPCode2000|CIPTitle2000|Action|Text change|CIPCode2010|CIPTitle2010
NULL|NULL|New|no|450902|National Security Policy Studies
NULL|NULL|New|no|450999|International Relations and National Security Studies, Other
NULL|NULL|New|no|470600|Vehicle Maintenance and Repair Technologies, General
NULL|NULL|New|no|470617|High Performance and Custom Engine Technician/Mechanic
NULL|NULL|New|no|470618|Recreation Vehicle (RV) Service Technician
NULL|NULL|New|no|480510|Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist
NULL|NULL|New|no|480511|Metal Fabricator
NULL|NULL|New|no|500102|Digital Arts
NULL|NULL|New|no|490207|Flagging and Traffic Control
NULL|NULL|New|no|490208|Railroad and Railway Transportation
NULL|NULL|New|no|500411|Game and Interactive Media Design
NULL|NULL|New|no|500607|Documentary Production
NULL|NULL|New|no|510001|Health and Wellness, General
NULL|NULL|New|no|451004|Political Economy
NULL|NULL|New|no|500509|Musical Theatre
NULL|NULL|New|no|500510|Costume Design
NULL|NULL|New|no|5010|Arts, Entertainment,and Media Management
NULL|NULL|New|no|501001|Arts, Entertainment,and Media Management, General
NULL|NULL|New|no|501099|Arts, Entertainment, and Media Management, Other
NULL|NULL|New|no|510814|Radiologist Assistant
NULL|NULL|New|no|510815|Lactation Consultant
NULL|NULL|New|no|510816|Speech-Language Pathology Assistant
NULL|NULL|New|no|510917|Polysomnography
NULL|NULL|New|no|510918|Hearing Instrument Specialist
NULL|NULL|New|no|510919|Mammography Technician/Technology
NULL|NULL|New|no|510920|Magnetic Resonance Imaging (MRI) Technology/Technician
NULL|NULL|New|no|510718|Long Term Care Administration/Management
NULL|NULL|New|no|510719|Clinical Research Coordinator
NULL|NULL|New|no|511012|Sterile Processing Technology/Technician
NULL|NULL|New|no|511106|Pre-Chiropractic Studies
NULL|NULL|New|no|511107|Pre-Occupational Therapy Studies
NULL|NULL|New|no|511108|Pre-Optometry Studies
NULL|NULL|New|no|511109|Pre-Physical Therapy Studies
NULL|NULL|New|no|512010|Pharmaceutical Sciences
NULL|NULL|New|no|512011|Pharmaceutical Marketing and Management
