Table_Name|Table_Order|Created_Date|Modified_Date|Results|Notes|Inactive
s06b|2s06b|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Fatal|NULL|N
s06c|2s06c|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
s06d|2s06d|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Fatal|NULL|N
s06e|2s06e|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Fatal|NULL|N
s06f|2s06f|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Fatal|NULL|N
s07a|2s07a|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Explanation|NULL|N
s07b|2s07b|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Explanation|NULL|N
s07c|2s07c|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Explanation|NULL|N
s07d|2s07d|2021-09-23 00:00:00.000|2022-09-08 17:21:30.590|Explanation|NULL|N
s08a|2s08a|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
s08b|2s08b|1900-01-01 00:00:00.000|2020-09-30 00:00:00.000|Explanation|NULL|N
s08c|2s08c|2021-12-16 13:13:26.303|2023-09-29 11:54:07.427|Count|NULL|N
s09a|2s09a|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
s09b|2s09b|2015-07-29 00:00:00.000|NULL|Fatal|NULL|N
s09c|2s09c|2016-03-16 00:00:00.000|NULL|Count|NULL|N
s10a|2s10a|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
s10b|2s10b|2020-09-24 00:00:00.000|NULL|Count|NULL|N
s11a|2s11a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s11b|2s11b|2020-09-24 00:00:00.000|NULL|Count|NULL|N
s12|2s12|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Explanation|NULL|N
s12a|2s12a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s12b|2s12b|2018-12-27 00:00:00.000|2021-02-10 16:00:55.153|Fatal|NULL|N
s12c|2s12c|2020-09-24 00:00:00.000|2021-02-10 16:01:01.560|Explanation|NULL|N
s12d|2s12d|2021-02-10 16:00:05.957|NULL|Fatal|NULL|N
s13|2s13|1900-01-01 00:00:00.000|2022-03-18 16:25:55.143|Fatal|NULL|N
s13a|2s13a|1900-01-01 00:00:00.000|NULL|Explanation|Threshold |N
s13b|2s13b|2018-12-05 00:00:00.000|NULL|Explanation|Threshold |N
s14|2s14|1900-01-01 00:00:00.000|NULL|Count|NULL|N
s14a|2s14a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14b|2s14b|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14h|2s14h|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14i|2s14i|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14m|2s14m|2015-07-29 00:00:00.000|2020-09-24 00:00:00.000|Removed|NULL|N
s14n|2s14n|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14p|2s14p|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14u|2s14u|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14ua|2s14ua|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s14w|2s14w|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s15|2s15|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s15a|2s15a|2015-07-23 00:00:00.000|NULL|Fatal|NULL|N
s16a|2s16a|1900-01-01 00:00:00.000|2020-09-02 00:00:00.000|Fatal|NULL|N
s17a|2s17a|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
s17b|2s17b|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
s17c|2s17c|1900-01-01 00:00:00.000|2023-01-17 13:14:22.410|Explanation|NULL|N
s17d|2s17d|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
s17e|2s17e|1900-01-01 00:00:00.000|2023-09-29 17:47:20.550|Explanation|NULL|N
s17f|2s17f|1900-01-01 00:00:00.000|2023-09-29 17:47:20.550|Explanation|NULL|N
s17g|2s17g|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
s17h|2s17h|2009-12-01 00:00:00.000|2022-08-18 08:48:19.877|Explanation|EOT|N
s17i|2s17i|2021-09-20 00:00:00.000|NULL|Fatal|NULL|N
s17j|2s17j|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
s17k|2s17k|2021-09-23 00:00:00.000|NULL|Explanation|NULL|N
s17l|2s17l|2022-11-02 09:26:31.520|NULL|Explanation|Will be fatal soon|N
s18a|2s18a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s18b|2s18b|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s19a|2s19a|1900-01-01 00:00:00.000|2021-09-20 00:00:00.000|Fatal|NULL|N
s19b|2s19b|2023-07-26 08:28:29.710|NULL|Fatal|NULL|N
s20a|2s20a|2021-09-23 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s21|2s21|1900-01-01 00:00:00.000|NULL|Count|NULL|N
s21a|2s21a|2018-12-27 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s21b|2s21b|2021-01-06 00:00:00.000|2023-01-18 09:56:12.400|Fatal|NULL|N
s22a|2s22a|2021-09-23 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s22b|2s22b|2021-09-24 00:00:00.000|NULL|Explanation|NULL|N
s23a|2s23a|1900-01-01 00:00:00.000|NULL|Explanation|Threshold |N
s23b|2s23b|2021-01-06 09:51:00.000|NULL|Threshold|Based on s23a|N
s23c|2s23c|2018-12-27 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s23d|2s23d|2021-01-06 00:00:00.000|NULL|Fatal|NULL|N
s24a|2s24a|2021-09-23 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s25a|2s25a|1900-01-01 00:00:00.000|2018-12-27 00:00:00.000|Fatal|NULL|N
s26a|2s26a|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s26b|2s26b|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s27a|2s27a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s27b|2s27b|1900-01-01 00:00:00.000|2020-09-24 00:00:00.000|Fatal|NULL|N
s27c|2s27c|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s27d|2s27d|2020-09-24 00:00:00.000|NULL|Count|NULL|N
s28a|2s28a|1900-01-01 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
s29a|2s29a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
s29b|2s29b|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s30a|2s30a|1900-01-01 00:00:00.000|2020-09-02 00:00:00.000|Fatal|NULL|N
s31a|2s31a|1900-01-01 00:00:00.000|2023-09-26 14:26:21.667|Fatal|NULL|N
s31b|2s31b|2021-09-23 00:00:00.000|NULL|Fatal|3rd only|N
s31c|2s31c|2021-09-23 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s32a|2s32a|2021-09-23 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s33a|2s33a|2021-09-23 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s34a|2s34a|2021-09-23 00:00:00.000|NULL|Explanation|NULL|N
s34b|2s34b|2020-09-24 00:00:00.000|NULL|Count|NULL|N
s34c|2s34c|2020-09-24 00:00:00.000|NULL|Count|NULL|N
s34d|2s34d|2021-09-20 00:00:00.000|NULL|Explanation|NULL|N
s34e|2s34e|1900-01-01 00:00:00.000|NULL|Count|NULL|N
s35a|2s35a|1900-01-01 00:00:00.000|2020-09-02 00:00:00.000|Fatal|NULL|N
s35b|2s35b|1900-01-01 00:00:00.000|2020-09-02 00:00:00.000|Fatal|NULL|N
s35c|2s35c|2020-09-24 00:00:00.000|NULL|Fatal|NULL|N
s36a|2s36a|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s36b|2s36b|1900-01-01 00:00:00.000|2020-09-02 00:00:00.000|Count|NULL|N
s37a|2s37a|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s38a|2s38a|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s39a|2s39a|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s40a|2s40a|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s41a|2s41a|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
s42a|2s42a|2021-02-01 16:33:42.077|2023-09-26 14:26:21.667|Explanation|NULL|N
s42b|2s42b|2015-10-28 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
s43a|2s43a|1900-01-01 00:00:00.000|NULL|Count|NULL|N
s43b|2s43b|2021-09-23 00:00:00.000|2023-01-18 09:33:18.467|Fatal|NULL|N
s43c|2s43c|1900-01-01 00:00:00.000|NULL|Explanation|Threshold |N
s43d|2s43d|1900-01-01 00:00:00.000|2021-01-06 10:26:00.000|Threshold|Based on s43b|N
s44a|2s44a|1900-01-01 00:00:00.000|NULL|Count|NULL|N
s44b|2s44b|1900-01-01 00:00:00.000|NULL|Count|NULL|N
s44c|2s44c|2018-06-12 00:00:00.000|NULL|Explanation|NULL|N
s44d|2s44d|2021-09-24 00:00:00.000|NULL|Fatal|NULL|N
s45a|2s45a|1900-01-01 00:00:00.000|NULL|Count|NULL|N
s45b|2s45b|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
s45c|2s45c|2021-09-24 00:00:00.000|NULL|Fatal|NULL|N
s46a|2s46a|2015-07-28 00:00:00.000|2023-09-26 14:26:21.667|Fatal|NULL|N
s46b|2s46b|2021-09-24 00:00:00.000|NULL|Explanation|NULL|N
s47a|2s47a|2015-07-28 00:00:00.000|2023-09-26 14:26:21.667|Fatal|NULL|N
s47b|2s47b|2015-07-28 00:00:00.000|2023-09-12 09:10:08.553|Fatal|NULL|N
s47c|2s47c|2021-09-24 00:00:00.000|2022-09-08 17:21:30.590|Explanation|NULL|N
s48a|2s48a|2021-09-24 00:00:00.000|2022-09-08 17:21:30.590|Explanation|NULL|N
s49a|2s49a|2018-12-27 00:00:00.000|2023-09-26 14:26:21.667|Fatal|NULL|N
s49b|2s49b|2021-09-24 00:00:00.000|2022-09-08 17:21:30.590|Explanation|NULL|N
s50a|2s50a|2022-08-17 15:20:26.993|NULL|Fatal|NULL|N
s50b|2s50b|2022-08-17 15:53:26.197|NULL|Fatal|NULL|N
s50c|2s50c|2023-09-28 13:22:16.693|NULL|Fatal|NULL|N
sc01a|3sc01a|1900-01-01 00:00:00.000|2020-09-22 00:00:00.000|Fatal|NULL|N
sc02a|3sc02a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc03a|3sc03a|1900-01-01 00:00:00.000|2020-09-22 00:00:00.000|Fatal|NULL|N
sc04a|3sc04a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc05a|3sc05a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc06a|3sc06a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc07a|3sc07a|2021-09-22 00:00:00.000|NULL|Fatal|NULL|N
sc07b|3sc07b|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc07c|3sc07c|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc08a|3sc08a|2021-09-22 00:00:00.000|NULL|Fatal|NULL|N
sc08b|3sc08b|1900-01-01 00:00:00.000|2020-09-22 00:00:00.000|Fatal|NULL|N
sc08c|3sc08c|1900-01-01 00:00:00.000|2023-09-12 09:39:01.983|Fatal|NULL|N
sc08d|3sc08d|1900-01-01 00:00:00.000|2023-08-25 16:43:59.077|Fatal|NULL|N
sc08e|3sc08e|1900-01-01 00:00:00.000|2020-09-22 00:00:00.000|Count|NULL|N
sc09a|3sc09a|2021-09-22 00:00:00.000|NULL|Fatal|NULL|N
sc09b|3sc09b|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc10a|3sc10a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc10b|3sc10b|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
sc10c|3sc10c|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc11a|3sc11a|2021-09-22 00:00:00.000|NULL|Fatal|NULL|N
sc11b|3sc11b|1900-01-01 00:00:00.000|NULL|Explanation|NULL|N
sc11c|3sc11c|1900-01-01 00:00:00.000|2023-09-26 14:26:21.667|Explanation|NULL|N
sc12a|3sc12a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc12b|3sc12b|1900-01-01 00:00:00.000|NULL|CE Check|NULL|N
sc12c|3sc12c|1900-01-01 00:00:00.000|2023-08-25 13:47:13.013|CE Check|NULL|N
sc12d|3sc12d|2018-06-12 00:00:00.000|NULL|Fatal|NULL|N
sc12e|3sc12e|1900-01-01 00:00:00.000|NULL|CE Check|NULL|N
sc12f|3sc12f|2020-09-25 00:00:00.000|NULL|CE Check|NULL|N
sc12g|3sc12g|2023-08-29 11:50:11.143|NULL|CE Check|NULL|N
sc12h|3sc12h|2023-08-29 11:50:11.143|NULL|Fatal|NULL|N
sc13a|3sc13a|1900-01-01 00:00:00.000|NULL|Fatal|NULL|N
sc13b|3sc13b|2020-09-02 00:00:00.000|NULL|Fatal|NULL|N
sc13c|3sc13c|2020-09-02 00:00:00.000|NULL|Fatal|NULL|N
sc14a|3sc14a|2021-09-22 00:00:00.000|NULL|Fatal|NULL|N
sc14b|3sc14b|2021-01-15 14:52:23.150|NULL|Fatal|NULL|N
sc15a|3sc15a|2021-09-23 00:00:00.000|2023-09-28 12:24:03.763|Fatal|NULL|N
sc15b|3sc15b|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
sc15c|3sc15c|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
sc15d|3sc15d|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
sc15e|3sc15e|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
sc15f|3sc15f|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
sc15g|3sc15g|2021-09-23 00:00:00.000|NULL|Fatal|NULL|N
sc15h|3sc15h|2022-01-28 09:44:45.650|NULL|Fatal|NULL|N
sc15i|3sc15i|2022-01-28 14:27:56.100|NULL|Fatal|NULL|N
