CIP_CODE|CIP_COURSE|CIP_SHORT|SHORT_COURSE|PERKINS|CIP1999|PERKINS_PROGRAM|PERKINS_SECTION|NON_TRAD|UCAT_APPROVED|CIPTitle_2010
530102|College/Univ Preparatory/Adv HS/Sec Dip Prog|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530102|NULL|NULL|NULL|NULL|College/University Preparatory and Advanced High School/Secondary Diploma Program.
530103|Voc HS/Sec Bus/Voc Indus/Occup Diploma Prog|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530103|NULL|NULL|NULL|NULL|Vocational High School and Secondary Business/Vocational-Industrial/Occupational Diploma Program.
530104|Honors/Regents HS/Secondary Diploma Program|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530104|NULL|NULL|NULL|NULL|Honors/Regents High School/Secondary Diploma Program.
530105|Adult High School/Secondary Diploma Program|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|NEW|NULL|NULL|NULL|NULL|Adult High School/Secondary Diploma Program.
530199|High School/Secondary Diploma Prog, Oth|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530199|NULL|NULL|NULL|NULL|High School/Secondary Diploma Programs, Other.
530200|High School/Secondary School Certificates|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530200|NULL|NULL|NULL|NULL|NULL
530201|High School Equivalence Certificate Program|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530201|NULL|NULL|NULL|Y|High School Equivalence Certificate Program.
530202|High School Certificate of Competence Program|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530202|NULL|NULL|NULL|NULL|High School Certificate of Competence Program.
530203|Certificate of IEP Completion Program|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530203|NULL|NULL|NULL|NULL|Certificate of IEP Completion Program.
530299|High School/Secondary School Certificates, Oth|53|HIGH SCHOOL DIPLOMA/CERTIFICATE PROGRAMS|NULL|530299|NULL|NULL|NULL|NULL|High School/Secondary Certificates, Other.
540100|HISTORY|54|HISTORY|NULL|450800|NULL|NULL|NULL|NULL|NULL
540101|History, General|54|HISTORY|NULL|450801|NULL|NULL|NULL|NULL|History, General.
540102|American History United States|54|HISTORY|NULL|450802|NULL|NULL|NULL|NULL|American  History (United States).
540103|European History|54|HISTORY|NULL|450803|NULL|NULL|NULL|NULL|European History.
540104|History and Philosophy of Science/Technology|54|HISTORY|NULL|450804|NULL|NULL|NULL|NULL|History and Philosophy of Science and Technology.
540105|Public/Applied History & Archival Admin|54|HISTORY|NULL|450805|NULL|NULL|NULL|NULL|Public/Applied History.
540106|Asian History|54|HISTORY|NULL|NEW|NULL|NULL|NULL|NULL|Asian History.
540107|Canadian History|54|HISTORY|NULL|NEW|NULL|NULL|NULL|NULL|Canadian History.
540199|History, Other|54|HISTORY|NULL|450899|NULL|NULL|NULL|NULL|History, Other.
550100|Langue et Litterature Fancaise, General|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550101|Langue et Litterature Fancaise, General|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550200|Litterature Comparative|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550201|Litterature Comparative|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
